Start_Year,Start_Month,Start_Day,Start_Hour,Durration,WRF381,WRF371,ICLAMS,GHCND,Wyoming,ISD,STAGEIV
2017,10,28,6,48,,,,,,,
2013,4,27,0,48,,,,,,,
