File_Name,Lat,Lon
71030099999,44.7,-66.8
71035999999,45.27,-72.17
71036799999,45.367,-72.767
71063099999,45.3833333,-75.7166666
71161099999,44.6333333,-75.7333333
71183099999,45.4666666,-73.7333333
71281099999,44.4166666,-75.85
71294099999,45.0666666,-77.8666666
71300099999,45,-75.6333333
71304199999,45.25,-74.967
71371099999,45.5166666,-73.4166666
71372099999,45.2833333,-73.3333333
71373099999,45.05,-72.85
71377099999,45.4166666,-73.9166666
71391099999,45.8333333,-75.6333333
71430099999,43.8333333,-77.15
71431099999,43.95,-78.1666666
71436099999,44.23,-78.363333
71524099999,45.8,-73.4333333
71581099999,45.5333333,-78.2666666
71603099999,43.826944,-66.088056
71607099999,45.2166666,-67.25
71609099999,45.3166666,-65.8833333
71610099999,45.438611,-71.691389
71611099999,45.3666666,-71.8166666
71612099999,45.5,-73.5666666
71614099999,45.1666666,-73.6666666
71620099999,44.225277,-76.596944
71621099999,44.1166666,-77.5333333
71627094792,45.46667,-73.75
71627999999,45.521694,-75.563589
71628099999,45.3225,-75.669167
71672099999,44.35,-78.3
71699099999,45.0666666,-66.45
71712099999,45.1166666,-74.2833333
71820099999,44.2166666,-76.6
71905099999,45.6833333,-74.0333333
71967099999,45.8166666,-72.5333333
71988099999,44.2833333,-66.35
72028503734,37.52111,-76.76472
72029703730,37.23917,-76.71611
72030464752,40.1,-75.26667
72031703735,38.39806,-77.45556
72032464753,40.43528,-75.38194
72033493764,39.16667,-77.16667
72038400124,38.967,-76.333
72040700462,39.9275,-74.2923
72040800136,39.983,-75.867
72047299999,44.991894,-70.664625
72049200151,44.567,-72.017
72049354758,44.88333,-72.23333
72049400152,44.933,-73.1
72049800153,37.4,-77.517
72050100155,37.85,-76.883
72054500169,41.384,-72.506
72055399999,40.701214,-74.009028
72058100178,40.617,-74.25
72069903724,39.60806,-77.0075
72102899999,43.9854722,-73.0954722
72208113730,39.41667,-77.38333
72209864761,40.95956,-72.25183
72215114794,41.34972,-71.79889
72215899999,38.99,-76.48
72221800356,38.533,-76.033
72224400358,38.981,-76.922
72224754785,40.62405,-74.66905
72225664774,42.09833,-70.67222
72269200367,38.586,-77.711
72282303749,39.645,-77.468
72308493775,37.70806,-77.43444
72308513750,36.93746,-76.28926
72308693741,37.13194,-76.49306
72308793735,37.13333,-76.6
72398093720,38.34083,-75.51325
72399014711,40.1962,-76.7724
72401013740,37.51151,-77.32344
72401493714,37.18333,-77.5
72401993773,36.9827,-77.0012
