Station,Time_Valid,Time_Obs,Tdiff,T2_o,Td_o,WB_o,RH_o,SH_o,WD_o,WS_o,WG_o,PSFC_o,Vis_o,WX_o
71030099999,2013042712,2013-04-27T12:00:00,0,3.8,-0.9,1.29,71.32,0.00348679,30,4.6,nan,102050,14000,Not_Parsed
71030099999,2013042713,2013-04-27T13:00:00,0,5,-2,1.56,60.46,nan,40,5.1,nan,nan,14484,Not_Parsed
71030099999,2013042714,2013-04-27T14:00:00,0,7,-2,2.73,52.64,nan,40,5.1,nan,nan,14484,Not_Parsed
71030099999,2013042715,2013-04-27T15:00:00,0,9,-1,4.19,49.45,nan,10,3,nan,nan,14484,Not_Parsed
71030099999,2013042716,2013-04-27T16:00:00,0,10,-2,4.46,42.95,nan,350,4.1,nan,nan,14484,Not_Parsed
71030099999,2013042717,2013-04-27T17:00:00,0,12,-3,5.29,34.91,nan,340,4.6,nan,nan,14484,Not_Parsed
71030099999,2013042718,2013-04-27T18:00:00,0,12.7,-3.7,5.48,31.64,0.002840169,320,4.1,nan,101780,14000,Not_Parsed
71030099999,2013042719,2013-04-27T19:00:00,0,11,2,6.32,53.76,nan,160,3.6,nan,nan,14484,Not_Parsed
71030099999,2013042720,2013-04-27T20:00:00,0,10,2,5.79,57.47,nan,160,3.6,nan,nan,14484,Not_Parsed
71030099999,2013042721,2013-04-27T21:00:00,0,9,1,4.88,57.2,nan,190,4.1,nan,nan,14484,Not_Parsed
71030099999,2013042722,2013-04-27T22:00:00,0,9,1,4.88,57.2,nan,200,3,nan,nan,14484,Not_Parsed
71030099999,2013042723,2013-04-27T23:00:00,0,6,-1,2.49,60.72,nan,180,2,nan,nan,14484,Not_Parsed
71030099999,2013042800,2013-04-28T00:00:00,0,3.8,0.2,1.76,77.29,0.003790887,250,1.5,nan,101710,14000,Not_Parsed
71030099999,2013042801,2013-04-28T01:00:00,0,1,-1,-0.22,86.45,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042802,2013-04-28T02:00:00,0,-1,-2,-1.7,92.89,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042803,2013-04-28T03:00:00,0,-2,-2,-2.15,100,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042804,2013-04-28T04:00:00,0,-3,-3,-3.15,100,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042805,2013-04-28T05:00:00,0,-3,-3,-3.15,100,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042806,2013-04-28T06:00:00,0,-3.3,-3.6,-3.62,97.78,0.002862974,300,1.5,nan,101730,14000,Not_Parsed
71030099999,2013042807,2013-04-28T07:00:00,0,-3,-4,-3.69,92.78,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042808,2013-04-28T08:00:00,0,-4,-4,-4.16,100,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042809,2013-04-28T09:00:00,0,-4,-4,-4.16,100,nan,nan,nan,nan,nan,14484,Not_Parsed
71030099999,2013042810,2013-04-28T10:00:00,0,-3,-4,-3.69,92.78,nan,50,1.5,nan,nan,14484,Not_Parsed
71030099999,2013042811,2013-04-28T11:00:00,0,5,3,3.72,86.87,nan,70,2.5,nan,nan,14484,Not_Parsed
71030099999,2013042812,2013-04-28T12:00:00,0,7,3.3,4.8,77.26,0.004729009,90,3.1,nan,101830,14000,Not_Parsed
71030099999,2013042813,2013-04-28T13:00:00,0,9,1,4.88,57.2,nan,70,3,nan,nan,14484,Not_Parsed
